trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 4.95}",20,0,-61.4209352558623,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 4.9}",25,1,-67.46045992833336,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 0}",1
3,False,"{'a': 0.1, 'e': 4.8500000000000005}",20,0,-107.03578051651581,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 4.800000000000001}",25,10,-69.94236316741848,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 0}",1
5,False,"{'a': 0.1, 'e': 4.750000000000001}",25,0,-53.983034493181975,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 4.700000000000001}",20,0,-61.16996561254156,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 4.650000000000001}",25,0,-98.74306380636882,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 4.600000000000001}",25,0,-128.6771119573592,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 4.550000000000002}",30,0,-212.221216626505,"{0: 15, 1: 2, 2: 10, 3: 0, 4: 3}",0
10,False,"{'a': 0.1, 'e': 4.500000000000002}",20,0,-94.80556279235532,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.1, 'e': 4.450000000000002}",20,0,-25.64396686508949,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 4.400000000000002}",20,4,-77.83254680073755,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.1, 'e': 4.350000000000002}",20,0,-63.69596775590786,"{0: 9, 1: 8, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 4.3000000000000025}",20,0,-55.573633595372186,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 4.250000000000003}",20,0,-119.6043863317282,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 4.200000000000003}",20,0,-114.23289405783636,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 4.150000000000003}",30,0,-140.83276268182482,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 4.100000000000003}",25,0,-57.43782182722835,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 4.050000000000003}",25,0,-114.8463071109603,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.1, 'e': 4.0000000000000036}",30,0,-182.75177352321302,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
