trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-217.30539645132592,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.36815907985278,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,2,-81.94776589978643,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.96017385239045,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.57980425308466,"{0: 15, 1: 4, 2: 11, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.76153839258254,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.26282534272251,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.6700487105975,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.18752146071728,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.64870847510159,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,8,-49.2839259100667,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.12428477224394,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,2,-129.87652675518052,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.03283804842108,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.19374623707637,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.5146654323836,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.519244238691105,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.3292294672429,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.88536950188666,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,8,-63.9549574001934,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,7,-127.70038776919898,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 2}",1
