trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 4.95}",20,0,-81.22230094878569,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 4.9}",35,0,-226.2818160403728,"{0: 21, 1: 2, 2: 8, 3: 0, 4: 4}",0
3,False,"{'a': 0.1, 'e': 4.8500000000000005}",25,0,-142.73635598248018,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 4.800000000000001}",25,0,-96.11873309773996,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 4.750000000000001}",25,0,-64.65197274455976,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 4.700000000000001}",20,0,-112.73139533970001,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.1, 'e': 4.650000000000001}",25,0,-133.74696908292847,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 4.600000000000001}",20,0,-59.088464282735586,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 4.550000000000002}",20,0,-126.42688960735046,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 4.500000000000002}",20,0,-150.26800622120393,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.1, 'e': 4.450000000000002}",30,0,-171.4533639601063,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.1, 'e': 4.400000000000002}",25,0,-33.829360553135885,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': 4.350000000000002}",25,0,-56.04641913102361,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 4.3000000000000025}",20,12,-59.056979962014054,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.1, 'e': 4.250000000000003}",30,0,-46.943489536627965,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 4.200000000000003}",30,0,-125.2944341421347,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 4.150000000000003}",20,0,-107.59592551841229,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 4.100000000000003}",25,0,-120.28276991219781,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.1, 'e': 4.050000000000003}",20,0,-80.81361619720099,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 4.0000000000000036}",25,0,-152.48719439741902,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
21,False,"{'a': 0.1, 'e': 3.9500000000000037}",30,0,-212.48786722591208,"{0: 12, 1: 4, 2: 11, 3: 1, 4: 2}",0
22,False,"{'a': 0.1, 'e': 3.900000000000004}",35,14,-126.65712493172244,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 2}",1
23,False,"{'a': 0.1, 'e': 3.850000000000004}",20,0,-67.87872852602473,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.1, 'e': 3.8000000000000043}",20,0,-120.96879932581373,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.1, 'e': 3.7500000000000044}",20,0,-110.76292434813399,"{0: 7, 1: 8, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.1, 'e': 3.7000000000000046}",20,0,-56.73948413128673,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.1, 'e': 3.650000000000005}",25,0,-153.6903758869401,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
28,False,"{'a': 0.1, 'e': 3.600000000000005}",25,0,-166.7989895194939,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.1, 'e': 3.550000000000005}",20,0,-116.2320269931518,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.1, 'e': 3.5000000000000053}",25,0,-159.2771899575653,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
31,False,"{'a': 0.1, 'e': 3.4500000000000055}",25,0,-87.9232825322724,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.1, 'e': 3.4000000000000057}",30,0,-152.67239155581163,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.1, 'e': 3.350000000000006}",25,0,-124.3032389503998,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.1, 'e': 3.300000000000006}",20,0,-109.02192235096629,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.1, 'e': 3.250000000000006}",25,0,-110.52138887313964,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.1, 'e': 3.2000000000000064}",25,0,-27.140808047860816,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.1, 'e': 3.1500000000000066}",35,0,-78.38815214760247,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
38,False,"{'a': 0.1, 'e': 3.1000000000000068}",25,0,-161.1784114529609,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
39,False,"{'a': 0.1, 'e': 3.050000000000007}",20,0,-94.18529922043835,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.1, 'e': 3.000000000000007}",25,0,-108.41596887708876,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
41,False,"{'a': 0.1, 'e': 2.9500000000000073}",25,14,-17.016958319071865,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.1, 'e': 2.9000000000000075}",25,0,-156.87377419996466,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
43,False,"{'a': 0.1, 'e': 2.8500000000000076}",30,0,-117.25798784658939,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
44,False,"{'a': 0.1, 'e': 2.800000000000008}",20,0,-160.9252575077258,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
45,False,"{'a': 0.1, 'e': 2.750000000000008}",20,0,-97.2360208495577,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
46,False,"{'a': 0.1, 'e': 2.700000000000008}",25,0,-171.5026743972617,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
47,False,"{'a': 0.1, 'e': 2.6500000000000083}",20,5,-24.714809564548055,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 2.6000000000000085}",30,0,-193.7487486695349,"{0: 17, 1: 7, 2: 2, 3: 0, 4: 4}",0
49,False,"{'a': 0.1, 'e': 2.5500000000000087}",20,0,-175.16374929843158,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
50,False,"{'a': 0.1, 'e': 2.500000000000009}",30,0,-132.17167158388798,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.1, 'e': 2.450000000000009}",20,0,-82.95603837123807,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
52,False,"{'a': 0.1, 'e': 2.4000000000000092}",25,0,-85.70939295041357,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.1, 'e': 2.3500000000000094}",25,0,-123.05664499562957,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
54,False,"{'a': 0.1, 'e': 2.3000000000000096}",20,0,-77.62195548477835,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.1, 'e': 2.2500000000000098}",25,0,-181.65549870532467,"{0: 10, 1: 7, 2: 4, 3: 2, 4: 2}",0
